oba	melko	Adv	Pcle
dálveguohtun	talvilaidun	N	N
veadjemeahttun	mahdoton	A	A
sorjjasmeahttun	riippumaton	A	A
dárbbašmeahttun	tarpeeton	A	A
gohččun	kutsu	N	N
dikšun	hoito	N	N
aiddo	juuri	Adv	Pcle& N
dego	kuten	CS	Pcle
báljo	paljon	Adv	Adv
dakko	siinä	Adv	Adv& Pcle
dákko	täällä	Adv	Adv
kruvdno	kruunu	N	N
konto	tili	N	N
duo	tuolla	Adv	Adv
vuođđo	perusta	N	N
sihkar	varma	A	A
registtar	rekisteri	N	N
finánsaministtar	talousministeri	N	N
sámeministtar	saameministeri	N	N
riddoministtar	rannikkoministeri	N	N
guovloministtar	alueministeri	N	N
kulturministtar	kulttuuriministeri	N	N
suodjalusministtar	puolustusministeri	N	N
áššebábir	asiapaperi	N	N
diekkár	tällainen	Pron	A
buhtadas	korvaus	N	N
olgguldas	ulkoinen	A	A
siskkáldas	sisäinen	A	A
lagas	läheinen	A	A
evttohas	ehdokas	N	N
mielas	mielestä	Po	Po
diehttelas	tietysti	Adv	Adv
sierranas	erikseen	A	Adv
biras	ympäristö	N	N
fágabiras	ammattipiiri	N	N
dutkanbiras	tutkimusalue	N	N
kulturbiras	kulttuuripiiri	N	N
várreáirras	varaedustaja	N	N
duođas	todellinen	Adv	A
beales	puolella	Po	Adv
soames	muutama	Pron	Pron
rájis	siitä asti	Adv	Adv
bealis	puolella	Po	Adv
olis	mukaan	Po	Po
rávis	aikuinen	A	A
rievdadus	muutos	N	N
láhkarievdadus	lakimuutos	N	N
bagadus	ohje	N	N
čielggadus	selitys	N	N
giellanjuolggadus	kielisääntö	N	N
váldonjuolggadus	pääsääntö	N	N
šiehtadus	sopimus	N	N
váldošiehtadus	pääsopimus	N	N
ovttasbargošiehtadus	yhteistyösopimus	N	N
boazodoallošiehtadus	poronhoitosopimus	N	N
buhtadus	korvaus	N	N
gielddus	kielto	N	N
mielddus	liite	N	N
vuođđudus	säätiö	N	N
lágádus	kustantamo	N	N
čoahkádus	koostumus	N	N
eahpádus	epäily	N	N
lohpádus	lupaus	N	N
mearrádus	määräys	N	N
láhkamearrádus	lakipäätös	N	N
ovddasvástádus	vastuu	N	N
hálddašanovddasvástádus	hallintovastuu	N	N
boazodoallohálddahus	poronhoitohallinto	N	N
doaimmahus	toimitus	N	N
joatkkaoahpahus	jatkokoulutus	N	N
vuođđooahpahus	perusopetus	N	N
láhkaásahus	määräys	N	N
geavahus	käyttö	N	N
huksehus	rakennus	N	N
hehttehus	este	N	N
vásihus	kokemus	N	N
erohus	ero	N	N
evttohus	ehdotus	N	N
láhkaevttohus	lakiehdotus	N	N
listaevttohus	listaehdokas	N	N
mearrádusevttohus	päätösehdotus	N	N
váikkuhus	vaikutus	N	N
eavttuhus	ehdotus	N	N
ávžžuhus	kehotus	N	N
mátkeealáhus	matkailuelinkeino	N	N
boazoealáhus	poroelinkeino	N	N
vuođđoealáhus	peruselinkeino	N	N
lasáhus	lisäys	N	N
vásáhus	elämys	N	N
dieđáhus	tiedote	N	N
preassadieđáhus	lehdistötiedote	N	N
stuorradiggedieđáhus	hallituksen selonteko eduskunnalle	N	N
jahkedieđáhus	vuosikertomus	N	N
jus	jos	CS	CC
váidalus	valitus	N	N
mánáidsuodjalus	lastensuojelu	N	N
hástalus	haaste	N	N
váldohástalus	päähaaste	N	N
bálvalus	palvelu	N	N
sosiálabálvalus	sosiaalipalvelu	N	N
dearvvašvuođabálvalus	terveyspalvelu	N	N
dulkonbálvalus	tulkkipalvelu	N	N
láhkaárvalus	lakiehdotus	N	N
maŋemus	viimeinen	Adv	A
oainnus	näkyvä	A	A
oainnus	näköala	N	N
stáhtus	status	N	N
ovddastus	edustus	N	N
ođastus	uudistus	N	N
museaođastus	museouudistus	N	N
vuođustus	perusta	N	N
guolástus	kalastus	N	N
nuppástus	muutos	N	N
julggaštus	julistus	N	N
eamiálbmotjulggaštus	alkuperäiskansajulistus	N	N
álgoálbmotjulggaštus	alkuperäiskansajulistus	N	N
beroštus	huoli& kiinnostus	N	N
ráŋggáštus	rangaistus	N	N
dieđus	tietysti	Adv	Adv
vuođus	perusta	N	N
várás	takia	Po	Po
eanadat	maasto	N	N
ovttadat	yksikkö	N	N
doalloovttadat	toimintayksikkö	N	N
mánáidgárdefálaldat	lastentarhatarjonta	N	N
oahppofálaldat	opetustarjonta	N	N
bálvalusfálaldat	palvelutarjonta	N	N
viidodat	pinta-ala	N	N
riggodat	rikkaus	N	N
luondduriggodat	luonnonresurssi	N	N
válgaáigodat	vaalikausi	N	N
bargiidbellodat	työväenpuolue	N	N
opmodat	omistus	N	N
sturrodat	suuruus	N	N
oahpahusossodat	opetusosasto	N	N
servodat	yhteiskunta	N	N
rievdat	muuttaa& muuntaa	V	V
dálkkádat	ilmasto	N	N
fierpmádat	verkosto	N	N
avádat	vyöhyke	N	N
čázádat	vesistö	N	N
viggat	yrittää, pyrkiä	V	V
mealgat	melko	Adv	Pcle
ovttasbargat	tehdä yhteistyötä	V	V
čavgat	kireä	A	A
guoskat	koskea	V	V
máŋggabealat	monipuolinen	A	A
guovttegielat	kaksikielinen	A	A
bagadallat	ohjata	V	V
šiehtadallat	neuvotella	V	V
vihkkedallat	pohtia& miettiä	V	V
ráđđádallat	neuvotella	V	V
logahallat	rekisteröidä	V	V
ásahallat	säätää	V	V
sisdoallat	sisältää	V	V
sisttisdoallat	sisältää	V	V
ávkkástallat	hyödyntää& käyttää hyväksi	V	V
digaštallat	keskustella	V	V
digáštallat	keskustella	V	V
biebmat	ruokia	V	V
ilbmat	toimeentulo	V	N
guohtumat	laidunresurssit	N	N
dálveguohtumat	talvilaidun	N	N
soahpat	sopia	V	V
siskkáldasat	sisäisesti	Adv	Adv
juksat	taas	V	Pcle
eanemusat	eniten	Adv	Adv
spiehkastat	poikkeama	N	N
geavat	käyttää	N	V
arvat	paljon	Adv	Adv
arvat	uskaltaa	V	V
geavvat	nousta	V	V
sajáiduvvat	sopeutua	V	V
ođasmuvvat	uusia	V	V
lihkostuvvat	onnistua	V	V
nuppástuvvat	muuttua	V	V
obbalaččat	yleisesti	Adv	Adv
ovttajienalaččat	yksimielisesti	Adv	Adv
aktiivvalaččat	aktiivisesti	Adv	Adv
lunddolaččat	luonnollisesti	Adv	Adv
vejolaččat	mahdollisesti	Adv	Adv
dohkálaččat	kelvollinen	Adv	A
báikkálaččat	paikallisesti	Adv	Adv
gaskamearálaččat	keskimääräisesti	Adv	Adv
goappašat	molemmat	Pron	Pron
eaiggáduššat	omistaa	V	V
áimmahuššat	ylläpitää	V	V
ságaškuššat	keskustella	V	V
nákcet	pystyä	V	V
muddet	oikoa& korjata	V	V
bivdet	pyytää	V	V
bágget	pakottaa	V	V
njulget	oikoa	V	V
čavget	kiristää	V	V
čuvget	ilmoittaa	V	V
máŋget	monistaa	V	V
suddjet	suojella	V	V
ráddjet	rajoittaa	V	V
goiket	kuivata	V	V
čohkket	kerätä	V	V
vurket	säilytä	V	V
hábmet	hahmota	V	V
stipeandaortnet	stipendijärjestelmä	N	N
válgaortnet	vaalijärjestelmä	N	N
doarjjaortnet	tukijärjestelmä	N	N
hálddašanortnet	hallintojärjestelmä	N	N
čoahkkinortnet	päiväjärjestys	N	N
reguleret	säätää	V	V
defineret	määritellä	V	V
integreret	integroida	V	V
formaliseret	formalisoida	V	V
organiseret	järjestää	V	V
konkretiseret	konkretisoida	V	V
raporteret	raportoida	V	V
rekrutteret	rekrytoida	V	V
evalueret	arvioida	V	V
buoret	miellummin& paremmin	Adv	Adv
earret	paitsi	Pr	Po
sirret	jakaa	V	V
várret	varoittaa	V	V
stivret	hallita	V	V
dásset	tasoittaa	V	V
viidáset	eteenpäin	Adv	Adv
iešguhtet	jokainen	Pron	Pron
máhttoloktet	nostaa tietomäärä	V	V
kártet	kartoittaa	V	V
hehttet	estää	V	V
gáhttet	katua	V	V
luvvet	ratkaista	V	V
bláđet	kääntää sivua	V	V
ráđđet	neuvoa	V	V
čuohcit	vaikuttaa	V	V
rievddadit	muuttaa	V	V
bagadit	kasvattaa	V	V
čielggadit	selittää	V	V
juogadit	jakaa	V	V
nammadit	nimittää	V	V
šiehtadit	sopimus	V	N
buhtadit	hyvittää	V	V
duhtadit	tyydyttää	V	V
eastadit	estää	V	V
buvttadit	tuottaa	V	V
geahpedit	keventää	V	V
fievrredit	kuljettaa	V	V
viiddidit	laajentaa	V	V
ovddidit	edistää	V	V
bajidit	nostaa	V	V
guhkidit	pidentää	V	V
dáhkidit	taata	V	N& V
vuolidit	alentaa	V	V
unnidit	vähentää	V	V
eahpidit	epäillä	V	V
geahpidit	keventää	V	V
fievrridit	kuljettaa	V	V
mihtidit	mitata	V	V
deaividit	tapahtua	V	V
govvidit	kuvata	V	V
váidit	valitus	V	N
maŋidit	lykätä	V	V
gáržžidit	rajoittaa	V	V
gieldit	kieltää	V	V
siskkildit	sisältää	V	V
vuhtiiváldit	ottaa huomioon	V	V
vuostáiváldit	ottaa vastaan	V	V
divodit	korjata	V	V
oččodit	yrittää saada	V	V
suokkardit	tutkia	V	V
meannudit	käyttäytyä	V	V
vuođđudit	perustaa	V	V
čiekŋudit	paneutua	V	V
navdit	nimittää& pitää	V	V
čoavdit	ratkaista	V	V
duvdit	tuki	V	V
virgádit	nimittää virkaan	V	V
beaivádit	päivittää	V	V
luobahit	luopua	V	V
máhcahit	palauttaa	V	V
dagahit	aiheuttaa	V	V
vuolggahit	käynnistää	V	V
guoskkahit	koskea	V	V
doalahit	pitää	V	V
olahit	ehtiä	V	V
fuolahit	huolehtia	V	V
gávnnahit	selvittää	V	V
ásahit	järjestää	V	V
čilgehit	selittää	V	V
bissehit	pysäyttää	V	V
vásihit	kokea	V	V
heaittihit	lopettaa	V	V
gozihit	vahtia	V	V
mieđihit	myöntää	V	V
jođihit	johtaa	V	V
seaguhit	sekoittaa	V	V
váikkuhit	vaikuttaa	V	V
seailluhit	säilyttää	V	V
earuhit	erottaa	V	V
vuoruhit	priorisoida	V	V
bisuhit	säilyttää	V	V
deattuhit	painottaa	V	V
muittuhit	muistuttaa	V	V
eavttuhit	ehdottaa	V	V
čuoččuhit	väittää	V	V
bálkáhit	vuokrata	V	V
bajit	ylä-	A	A
guhkit	pidempi	Adv	Adv
álkit	helppo	Adv	A
guoddalit	valittaa	V	V
váidalit	valittaa	V	V
vuovdalit	markkinoida	V	V
suodjalit	suojella	V	V
bálvalit	palvella	V	V
vuolláičállit	allekirjoittaa	V	V
vuolit	alhainen& ala-	A	A
čuovvolit	seurata	V	V
čuovvulit	seurata	V	V
čoahkkanit	kokoontua	V	V
hedjonit	heikentyä	V	V
ovdánit	kehittyä	V	V
geahppánit	keventyä	V	V
lassánit	lisääntyä	V	V
massit	menettää	V	V
ollásit	täydellinen	Adv	A
laktit	monistaa	V	V
boktit	herättää	V	V
ovdanbuktit	esittää	V	V
ovddastit	edustaa	V	V
dovddastit	myöntää	V	V
oasálastit	osallistua	V	V
vuostálastit	vastustaa& protestoida	V	V
fátmmastit	syleillä	V	V
sihkarastit	varmistaa	V	V
sihkkarastit	varmistaa	V	V
deattastit	alleviivata	V	V
ovttastit	yhdistää	V	V
ođastit	uudistaa	V	V
váfistit	vahvistaa	V	V
dárkkistit	tarkistaa	V	V
gárvvistit	valmistaa	V	V
dávistit	vastata	V	V
einnostit	ennustaa	V	V
guolástit	kalastaa	V	V
álkidahttit	yksinkertaistaa	V	V
movttidahttit	innoittaa	V	V
vahágahttit	vahingoittaa	V	V
gudnejahttit	kunnia	V	N
ođasmahttit	päivittää	V	V
nanosmahttit	vahvistaa	V	V
ovdánahttit	kehittää	V	V
sulastahttit	muistuttaa	V	V
buohtastahttit	vertailla	V	V
ovttastahttit	yhdistää	V	V
aiddostahttit	tarkentaa	V	V
ráfáiduhttit	rauhoittaa	V	V
muosehuhttit	häiritä	V	V
nuppástuhttit	muuttaa	V	V
fuomášuhttit	huomauttaa	V	V
válmmaštit	valmentaa	V	V
duođaštit	vahvistaa	V	V
bealuštit	puolustaa	V	V
heađuštit	estää	V	V
vuođuštit	perustella	V	V
ráŋggáštit	rankaista	V	V
láhčit	sijoita	V	V
maŋit	taka-	A	A
hálddašit	hallita	V	V
máinnašit	mainonta	V	N
šállošit	valittaa	V	V
fuomášit	huomata	V	V
earenoamážit	erityisesti	Adv	Adv& Pcle
dárkot	tarkistaa	V	V
sámeálbmot	saamenkansa	N	N
dárkileappot	tarkempi	Adv	A
viidáseappot	edelleen& eteenpäin	Adv	Adv
rahppot	avautua	V	V
orrot	asua	V	V
gustot	pitää	V	V
buorebut	parantaa	Adv	V
hilgut	hylkiä	V	V
njuolgut	suoristaa	V	V
rihkkut	rikkoa	V	V
doalut	pidot	N	N
unnut	vähentyä	V	V
lotnut	maksaa	V	V
geassut	vetää	V	V
guohtut	laidun	V	V
boastut	väärin	Adv	Adv
movt	miten	Adv	Adv
soalddát	sotilas	N	N
eaiggát	omistaja	N	N
eanaeaiggát	maanomistaja	N	N
eananeaiggát	maanomistaja	N	N
boazoeaiggát	poronomistaja	N	N
vahát	vahinko	N	N
oalát	täydellinen	Adv	A
deaddu	paino	N	N
riddu	rannikko	N	N
miellaguoddu	mielipide& asenne	N	N
muddu	vaihe	N	N
olámuddu	ulottuvuus	N	N
reaidu	työkalu	N	N
neahttasiidu	nettisivu	N	N
gáldu	lähde	N	N
bággu	pakko	N	N
nággu	riita	N	N
viessoláigu	vuokra	N	N
čálgu	viihtyvyys& hyvinvointi	N	N
ovdabargu	esityö	N	N
láhkabargu	lakityö	N	N
giellabargu	kielityöntekijä	N	N
plánabargu	suunnittelutyö	N	N
ovddidanbargu	yhteistyö	N	N
ovdánahttinbargu	kehitystyö	N	N
dásseárvobargu	tasa-arvotyö	N	N
ovttasbargu	yhteistyö	N	N
doaibmabidju	toimenpide	N	N
báhčinšillju	ampumarata	N	N
dahku	teko	N	N
lohku	luku	N	N
boazolohku	poroluku& poromäärä	N	N
eanetlohku	enemmistö	N	N
unnitlohku	vähemmistö	N	N
olmmošlohku	asukasluku	N	N
juohku	jako	N	N
vuosteháhku	vastustus	N	N
sáhkku	sakko	N	N
referánsajoavku	referenssiryhmä	N	N
sámediggejoavku	saamelaiskäräjien joukko	N	N
ulbmiljoavku	tavoiteryhmä	N	N
bargojoavku	työryhmä	N	N
álbmotjoavku	kansakunta	N	N
doallu	toimintayksikkö	N	N
eanadoallu	maanviljely	N	N
sisdoallu	sisältö	N	N
rehketdoallu	tilinpito	N	N
gollu	kulu	N	A& N
doaibmagollu	toimikulu	N	N
duopmostuollu	tuomioistuin	N	N
olu	paljon	Adv	Adv
giellaguovlu	kielialue	N	N
doaibmaguovlu	toiminta-alue	N	N
vuotnaguovlu	vuonoalue	N	N
mearraguovlu	merialue	N	N
sámeguovlu	saamen alue	N	N
davviguovlu	pohjoinen alue	N	N
hálddahanguovlu	hallintoalue	N	N
hálddašanguovlu	hallintoalue	N	N
báhčinguovlu	ampuma-alue	N	N
guohtunguovlu	laidunalue	N	N
riddoguovlu	rannikkoseutu	N	N
boazodoalloguovlu	paliskunta& poronhoitoalue	N	N
duopmu	tuomio	N	N
váikkuhanfápmu	vaikutusvalta	N	N
oaidnu	mielipide	N	N
ruvdnu	kruunu	N	N
atnu	käyttö	N	N
joatkkaoahppu	jatkokoulutus	N	N
oahpaheaddjeoahppu	opettajanopetus	N	N
dárru	norjan kieli	N	N
fárru	seurue	N	N
máksu	maksu	N	N
čoahkkáigeassu	yhteenveto	N	N
sisaboahtu	ansio	N	N
árbediehtu	perinnetieto	N	N
vuoitu	voitto	N	N
eaktu	ehto	N	N
molssaeaktu	vaihtoehto	N	N
beaktu	teho	N	N
reantu	korko	N	N
áššelistu	asialista	N	N
lahttu	jäsen	N	N
stivralahttu	johtokunnan jäsen	N	N
várrelahttu	varajäsen	N	N
miellahttu	jäsen	N	N
lihttu	liito	N	N
mihttu	mitta	N	N
dáhttu	tahto	N	N
boasttu	väärä	A	A
dásseárvu	tasa-arvo	N	N
veahkkeneavvu	apuneuvo	N	N
oahpponeavvu	opetusmateriaali	N	N
čuovvu	seuraaja	N	N
diehtovuođđu	tietokanta	N	N
julev	luulaja	A	N
gonagasreabbá	kuningasrapu	N	N
mihá	melko	Adv	Pcle
linjjá	viiva& linja	N	N
linjá	viiva& linja	N	N
vuorká	arkisto	N	N
sátnevuorká	sanavarasto	N	N
dávvirvuorká	museo	N	N
dalá	silloinen	A	A
otná	tämänpäivinen	A	A
juohkehaš	jokainen	Pron	Pron
obbalaš	yleinen	A	A
dáiddalaš	taiteellinen	A	A
čearddalaš	etninen	A	A
ovdalaš	aikaisemmin	Adv	Adv
geográfalaš	maantieteellinen	A	A
strategalaš	strateginen	A	A
vuoiggalaš	rehellinen	A	A
pedagogalaš	pedagoginen	A	A
erenoamášpedagogalaš	erikoispedagoginen	A	A
biologalaš	biologinen	A	A
ekologalaš	ekolooginen	A	A
norgalaš	norjalainen	A	A
fágalaš	ammatillinen	A	A
lágalaš	laillinen	A	A
juridihkalaš	juridinen	A	A
teknihkalaš	tekninen	A	A
politihkalaš	poliittinen	A	A
sámepolitihkalaš	saamepoliittinen	A	A
praktihkalaš	käytännöllinen	A	A
psyhkalaš	psyykkinen	A	A
gaskariikkalaš	kansainvälinen	A	A
davviriikkalaš	pohjoismainen	A	A
psykalaš	psyykkinen	A	A
gielalaš	kielellinen	A	A
sámegielalaš	saamenkielinen	A	A
dihtomielalaš	tietoinen	A	A
sosiálalaš	sosiaalinen	A	A
formálalaš	muodollinen	A	A
ekonomalaš	taloudellinen	A	A
iešheanalaš	itsenäinen	A	A
bienalaš	yksityiskohtainen	A	A
ovttajienalaš	yksimielisesti	A	Adv
persovnnalaš	henkilöllinen	A	A
našuvnnalaš	kansallinen	A	A
nášuvnnalaš	kansallinen	A	A
loahpalaš	lopullinen	A	A
prinsihpalaš	periaatteellinen	A	A
eurohpalaš	eurooppalainen	A	A
oppalaš	yleinen	A	A
kultuvrralaš	kulttuurinen	A	A
máŋggakultuvrralaš	monikulttuurinen	A	A
parlamentáralaš	parlamentaarinen	A	A
deatalaš	tärkeä	A	A
konkrehtalaš	konkreettinen	A	A
systemáhtalaš	systemaattinen	A	A
automáhtalaš	automaattinen	A	A
demokráhtalaš	demokraattinen	A	A
stáhtalaš	valtiollinen	A	A
arktalaš	arktinen	A	A
árktalaš	arktinen	A	A
negatiivvalaš	negatiivinen	A	A
positiivvalaš	positiivinen	A	A
dieđalaš	tieteellinen	A	A
ruđalaš	rahallinen	A	A
vuoiŋŋalaš	hengellinen	A	A
ulbmillaš	määrätietoinen	A	A
suohkanlaš	kunnallinen	A	A
gelbbolaš	kelvollinen	A	A
girkolaš	kirkollinen	A	A
eaktodáhtolaš	vapaaehtoinen	A	A
šattolaš	seuraaja	A	N
molssaevttolaš	vapaaehtoinen	A	A
vuđolaš	perusteellinen	A	A
gonagaslaš	kuninkaallinen	A	A
dievaslaš	täydellinen	A	A
hálddahuslaš	hallinnollinen	A	A
servodatlaš	yhteiskunnallinen	A	A
geavatlaš	käytännöllinen	A	A
guovllulaš	alueellinen	A	A
guovlulaš	alueellinen	A	A
lobálaš	laillinen	A	A
dohkálaš	sopiva& kelvollinen	A	A
báikkálaš	paikallinen	A	A
ávkkálaš	hyödyllinen	A	A
ekonomálaš	taloudellinen	A	A
sálaš	saalis	N	N
olmmošlaš	kohtelias	A	A
eanaš	enimmäkseen	Adv	Adv
goappaš	molemmat	Pron	Pron
gaskaboddasaš	väliaikainen	A	A
sullasaš	samanlainen	A	A
nammasaš	niminen	A	A
gaskaboddosaš	väliaikainen	A	A
riikkaviidosaš	maankattava	A	A
ruvdnosaš	kruunuinen	A	A
sturrosaš	suuruinen	A	A
ovttaárvosaš	samaarvoinen	A	A
jahkásaš	yksivuotinen	A	A
dássásaš	tasavertainen	A	A
sorjavaš	riippumaton	A	A
guoskevaš	koskien	A	Po
váilevaš	puuttuva	A	A
gullevaš	kuuluva	A	A
boahttevaš	tuleva	A	A
gustovaš	koskevan	A	A
fágaolmmoš	ammattilainen	N	N
rávisolmmoš	aikuinen	N	A
ohcamuš	hakemus	N	N
soahpamuš	sopimus	N	N
vuosttamuš	ensisijaisesti	A	Adv
bajimuš	ylin	A	A
vuordámuš	odotus	N	N
cealkámuš	lausunto	N	N
luohttámuš	luottamus	N	N
njunuš	kärki	N	N
filbmaguovddáš	elokuvakeskus	N	N
preassaguovddáš	lehdistökeskus	N	N
gelbbolašvuođaguovddáš	kompetenssikeskus	N	N
gealboguovddáš	kompetenssikeskus	N	N
kulturguovddáš	kulttuurikeskus	N	N
duogáš	tausta	N	N
veaháš	vähän	Adv	Adv
dáláš	nykyaikainen	A	A
earenoamáš	erinomainen	A	A
erenoamáš	erikoinen	A	A
otnáš	tämänpäivän	A	A
